feature,ks_stat,ks_pval,significant
cat7_share,0.0070799720674279976,0.058432442750673275,False
cus_cat_7_atv,0.00643748008767564,0.10771473639158358,False
cus_cat_6_atv,0.006211225301684609,0.11079562594714154,False
cus_cat_days_6_diff_min,0.005989327036406977,0.03878344549721868,False
cus_cat_7_std,0.005654476355222482,0.6169234106724402,False
cus_cat_days_7_diff_mean,0.005539200830179225,0.08069414778280337,False
mtv,0.005537468982610538,0.00859372187601777,True
cat6_share,0.005492888840379934,0.20784350072817903,False
cus_cat_6_last_2_3_days,0.0053941816717479885,0.1403127853413959,False
cus_cat_6_std,0.005241631166440386,0.6444774378743294,False
cus_cat_days_6_diff_mean,0.005203558879758097,0.10191402200787625,False
atv,0.005023076740679477,0.022560681251576932,False
cus_cat_days_7_diff_min,0.004977212245632856,0.1496533169969947,False
cus_cat_7_last_2_3_days,0.004735786332162761,0.2912515327561309,False
mkt_resp_rate,0.0047182038254300895,0.04055478680293867,False
rto_format_2,0.004684665666683352,0.6816259328312148,False
cus_cat_7_rto,0.004625829689455241,0.4373704961616087,False
p_25_tv,0.004623522540715963,0.04475145145004189,False
cat5_share,0.004539469580183753,0.12791755743765232,False
cus_mark_n_offers,0.004340592487408035,0.07380217574022596,False
p_75_tv,0.0042603842021230465,0.0793777482787904,False
cus_cat_days_7_diff_std,0.004184368175045972,0.44043541289677957,False
cus_mark_n_rule,0.004176551937238315,0.0942456885482964,False
stdtv,0.003982386110059077,0.12104263366827828,False
cus_cat_6_last_3_days,0.003930206904102396,0.48071272720010716,False
cus_cat_6_rto,0.003925462904005861,0.6096493849539051,False
cus_cat_days_5_diff_mean,0.003870961877379675,0.18529237354012995,False
mntv,0.0038470545855571747,0.14396523157162644,False
mxtv,0.0038310191612591638,0.1471154811816403,False
cus_cat_6_n_days,0.003727426789578714,0.6737554908315573,False
cus_mark_n_view,0.0036317271383230487,0.19829302414976036,False
cus_cat_days_7_diff_max,0.003589994197110258,0.5098225850090727,False
cus_cat_5_max_min_days_diff,0.003527958529006836,0.24630139077916202,False
cus_cat_7_last_3_days,0.0034930659379288076,0.6717193805127784,False
cus_cat_6_last_1_days,0.0034842264577811255,0.3821188031392063,False
cus_cat_5_last_3_days,0.003436756889785897,0.3387958067950242,False
n_redeem,0.003421966170361168,0.5721365616989168,False
cus_cat_7_last_1_2_days,0.0033842088591146124,0.5864402678834713,False
cus_cat_days_5_diff_min,0.0033246974616003566,0.3441513010807157,False
cus_cat_7_max_min_days_diff,0.00331571817252152,0.4637916396016871,False
cus_cat_5_rto,0.0032713915740570365,0.47278178063904275,False
cat_breadth_ratio,0.0032618988450304753,0.30051755979296,False
cus_cat_6_n_days_big_period,0.0031921154161620446,0.49353069461411514,False
rto,0.003142113436816807,0.34381866932311866,False
cus_cat_7_n_days,0.003124461061800421,0.8807088175410457,False
cus_cat_7_last_1_days,0.0031041295258043,0.5494528493255191,False
n_days_last_visit,0.0031038912806291563,0.35846745953910975,False
cus_cat_6_n_sku,0.003011105515315693,0.8850927763745693,False
n_cat_6,0.0029855149926590885,0.40632937963669724,False
avg_days_btw_trn,0.0029405404819171643,0.42922991143955425,False
cat7_vs_last_visit,0.0029011556749907186,0.6361276827527651,False
cus_cat_7_n_days_big_period,0.0028505391043395223,0.6580109758129202,False
cus_cat_7_last_2_days,0.0028454663566843397,0.7902083062307522,False
cus_cat_5_std,0.0028430217148259773,0.7815896411415779,False
n_sites,0.0028339839811086787,0.47280765701824456,False
cus_cat_days_6_diff_max,0.0028116289374489067,0.7771416577089526,False
cus_cat_5_last_1_days,0.002778067387060268,0.5351195557875141,False
cus_cat_days_5_diff_max,0.0027736139699465756,0.5745218832603396,False
cus_cat_days_6_diff_std,0.0027301979257812747,0.8850711031521435,False
cus_cat_5_atv,0.0027105426817552666,0.7106823852512355,False
cus_cat_6_last_2_days,0.002707532568666793,0.8146626949087946,False
rto_format_1,0.002697505108260778,0.5474689201612695,False
trn_density,0.0026907023536239527,0.5406943126156047,False
cus_cat_5_n_days_big_period,0.002670879358789846,0.586125793869114,False
rto_format_3,0.0026415379846946863,0.8990964785058155,False
cus_cat_days_5_diff_std,0.002597409727720712,0.692434748774285,False
n_cat_7,0.0025791493418646505,0.5950407753529843,False
gendercalc,0.002526450495075161,0.6412895331586459,False
n_trn,0.0025207538348180902,0.6242261980800333,False
spend_cv,0.00249828823778786,0.638823718601912,False
cus_cat_6_max_min_days_diff,0.0024525040644500784,0.8086176755582684,False
mkt_view_rate,0.0024114697990823553,0.6881165866619514,False
n_sku,0.0023971604072846597,0.6862754761767229,False
max_days_btw_trn,0.0023575747824209348,0.7094875595994403,False
cus_cat_5_last_2_3_days,0.0022018880288057763,0.8602367758906806,False
cus_cat_5_last_2_days,0.0021532382392013827,0.8551124709644624,False
cus_cat_6_last_1_2_days,0.002080603684453952,0.9709840647626954,False
recency_ratio,0.0020761169268917745,0.939666488552829,False
cus_cat_5_last_1_2_days,0.0020267408558964917,0.8999527444512986,False
cus_cat_7_n_sku,0.0020244398186379797,0.9986708022385836,False
p_25_days_btw_trn,0.002017673955168997,0.8642075391878405,False
n_formats,0.0020152025331743872,0.8628652171820224,False
cus_cat_5_n_sku,0.0018903398008184302,0.9707285566164779,False
cus_cat_5_n_days,0.0017705141405990332,0.9848178405248881,False
n_cat_5,0.0016442622944019547,0.9696673641286815,False
p_75_days_btw_trn,0.0016200656969059812,0.9743483481630876,False
n_days_life,0.0015204029243957445,0.9862835244644854,False
min_days_btw_trn,0.0015058713493066866,0.988028976288965,False
p_50_days_btw_trn,0.0014956835932381646,0.9889177263145846,False
age,0.0013015619041217286,0.9981862315487811,False
n_regions,0.0008699284621408454,0.9999998889422198,False
n_plastic_card,0.00032844234722095855,0.0,True
n_virtual_card,0.00023934656666235732,1.0,False
communication_type,9.400919064317392e-07,1.0,False
cus_mark_fav_cat_accept_flg_2_month_ago,0.0,1.0,False
cus_mark_fav_cat_accept_flg_1_month_ago,0.0,1.0,False
