feature,importance,ks_stat,ks_pval,significant,gain_rank
n_days_life,4183.187788009644,0.0015204029243957445,0.9862835244644854,False,1.0
cus_mark_n_offers,4037.0399041175842,0.004340592487408035,0.07380217574022596,False,2.0
spend_cv,3963.3169820308685,0.00249828823778786,0.638823718601912,False,3.0
mntv,3951.85209941864,0.0038470545855571747,0.14396523157162644,False,4.0
cat_breadth_ratio,3753.3275048732758,0.0032618988450304753,0.30051755979296,False,5.0
trn_density,3695.878062725067,0.0026907023536239527,0.5406943126156047,False,6.0
age,3528.8541431427,0.0013015619041217286,0.9981862315487811,False,7.0
p_25_tv,3266.276709318161,0.004623522540715963,0.04475145145004189,False,8.0
n_redeem,3230.3474674224854,0.003421966170361168,0.5721365616989168,False,9.0
cus_cat_5_atv,3189.5770161151886,0.0027105426817552666,0.7106823852512355,False,10.0
rto_format_1,3164.7171852588654,0.002697505108260778,0.5474689201612695,False,11.0
mkt_view_rate,3153.9169669151306,0.0024114697990823553,0.6881165866619514,False,12.0
rto_format_3,2984.0921902656555,0.0026415379846946863,0.8990964785058155,False,13.0
cat7_vs_last_visit,2958.5612049102783,0.0029011556749907186,0.6361276827527651,False,14.0
p_75_tv,2955.971276283264,0.0042603842021230465,0.0793777482787904,False,15.0
cus_cat_5_max_min_days_diff,2932.0887167453766,0.003527958529006836,0.24630139077916202,False,16.0
mtv,2915.8834190368652,0.005537468982610538,0.00859372187601777,True,17.0
cus_cat_5_last_2_3_days,2892.043690443039,0.0022018880288057763,0.8602367758906806,False,18.0
avg_days_btw_trn,2881.086590051651,0.0029405404819171643,0.42922991143955425,False,19.0
stdtv,2879.844348669052,0.003982386110059077,0.12104263366827828,False,20.0
cus_cat_5_last_2_days,2860.0836634635925,0.0021532382392013827,0.8551124709644624,False,21.0
cus_cat_5_last_1_days,2844.6339963674545,0.002778067387060268,0.5351195557875141,False,22.0
cus_cat_days_5_diff_std,2764.8524503707886,0.002597409727720712,0.692434748774285,False,23.0
n_sku,2725.309429168701,0.0023971604072846597,0.6862754761767229,False,24.0
cat5_share,2692.7382085323334,0.004539469580183753,0.12791755743765232,False,25.0
mxtv,2669.068410515785,0.0038310191612591638,0.1471154811816403,False,26.0
atv,2628.3524177074432,0.005023076740679477,0.022560681251576932,False,27.0
cus_cat_5_rto,2620.723779439926,0.0032713915740570365,0.47278178063904275,False,28.0
mkt_resp_rate,2584.5798094272614,0.0047182038254300895,0.04055478680293867,False,29.0
recency_ratio,2436.5767183303833,0.0020761169268917745,0.939666488552829,False,30.0
rto,2406.4320133924484,0.003142113436816807,0.34381866932311866,False,31.0
cus_cat_5_last_3_days,2402.3067541122437,0.003436756889785897,0.3387958067950242,False,32.0
cus_cat_days_5_diff_mean,2379.1408836841583,0.003870961877379675,0.18529237354012995,False,33.0
cus_cat_days_5_diff_max,2328.467030286789,0.0027736139699465756,0.5745218832603396,False,34.0
cus_cat_5_std,2322.6195669174194,0.0028430217148259773,0.7815896411415779,False,35.0
cus_cat_5_last_1_2_days,2285.1372044086456,0.0020267408558964917,0.8999527444512986,False,36.0
cus_cat_6_last_1_days,2141.364120721817,0.0034842264577811255,0.3821188031392063,False,37.0
cus_mark_n_view,2098.096676826477,0.0036317271383230487,0.19829302414976036,False,38.0
max_days_btw_trn,1953.094123005867,0.0023575747824209348,0.7094875595994403,False,39.0
cus_cat_6_last_2_3_days,1914.6846804618835,0.0053941816717479885,0.1403127853413959,False,40.0
cus_cat_7_last_2_3_days,1905.7719930410385,0.004735786332162761,0.2912515327561309,False,41.0
n_cat_7,1810.4399052858353,0.0025791493418646505,0.5950407753529843,False,42.0
cus_cat_7_max_min_days_diff,1766.4212274551392,0.00331571817252152,0.4637916396016871,False,43.0
