model,uplift@10,ci80_lo,ci80_hi,qini_auc,elapsed_sec,rank
TARNet,20.497815362643713,19.33519569478776,22.210963662249984,2.7188046444417315,1089.6,1
CFR (Wasserstein),20.167509440685777,18.563425667907477,21.6890445155776,2.677358162939724,1393.2,2
X-Learner (LGB),19.96215148594363,18.245528508478827,21.88719560852624,0.030434228807311024,0.0,3
CFR (MMD),19.842310554634906,18.44959235402167,21.60101741052502,2.7174450653568467,1402.3,4
DragonNet,19.56346836742658,18.10250125130807,21.184677097825617,2.5590889911863908,1355.8,5
Optuna Hurdle (LGB),18.05357121985832,17.06406718095624,19.82109597198936,0.03248848152826057,0.0,6
RERUM,17.906842359064676,16.710295245456695,19.64481836557226,2.450487115878798,2910.4,7
